"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TG6FRV4F","journalArticle","2015","Zemla, Jeffrey C.; Tossell, Chad C.; Kortum, Philip; Byrne, Michael D.","A Bayesian approach to predicting website revisitation on mobile phones","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2015.06.002","https://linkinghub.elsevier.com/retrieve/pii/S1071581915001044","","2015-11","2020-06-05 12:13:32","2020-06-05 12:13:32","2020-06-05 12:13:32","43-50","","","83","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P35AJU8E","journalArticle","2020","Fairclough, Stephen H; Stamp, Kellyann; Dobbins, Chelsea; Poole, Helen M","Computer games as distraction from PAIN: Effects of hardware and difficulty on pain tolerance and subjective IMMERSION","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2020.102427","https://linkinghub.elsevier.com/retrieve/pii/S1071581920300318","","2020-07","2020-06-05 12:19:28","2020-06-05 12:19:28","2020-06-05 12:19:28","102427","","","139","","International Journal of Human-Computer Studies","Computer games as distraction from PAIN","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQKXPSD9","journalArticle","2014","Kukolja, Davor; Popović, Siniša; Horvat, Marko; Kovač, Bernard; Ćosić, Krešimir","Comparative analysis of emotion estimation methods based on physiological measurements for real-time applications","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2014.05.006","https://linkinghub.elsevier.com/retrieve/pii/S1071581914000731","","2014-10","2020-06-05 12:19:26","2020-06-05 12:19:26","2020-06-05 12:19:26","717-727","","10-11","72","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D2QQYNVL","journalArticle","2013","Hooten, Eli R.; Hayes, Sean T.; Adams, Julie A.","Communicative modalities for mobile device interaction","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2013.05.003","https://linkinghub.elsevier.com/retrieve/pii/S1071581913000633","","2013-10","2020-06-05 12:19:23","2020-06-05 12:19:23","2020-06-05 12:19:23","988-1002","","10","71","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UPRW3CTS","journalArticle","2018","García-Magariño, Iván; Chittaro, Luca; Plaza, Inmaculada","Bodily sensation maps: Exploring a new direction for detecting emotions from user self-reported data","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2018.01.010","https://linkinghub.elsevier.com/retrieve/pii/S1071581918300545","","2018-05","2020-06-05 12:19:19","2020-06-05 12:19:19","2020-06-05 12:19:19","32-47","","","113","","International Journal of Human-Computer Studies","Bodily sensation maps","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/DH646E4X/García-Magariño et al. - 2018 - Bodily sensation maps Exploring a new direction f.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8CU2PDUX","journalArticle","2020","Trukenbrod, Anna K.; Backhaus, Nils; Thomaschke, Roland","Measuring subjectively experienced time in usability and user experience testing scenarios","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2020.102399","https://linkinghub.elsevier.com/retrieve/pii/S1071581920300045","","2020-06","2020-06-11 22:02:42","2020-06-11 22:02:42","2020-06-11 22:02:42","102399","","","138","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YNZKRRF9","journalArticle","2019","Terkildsen, Thomas; Makransky, Guido","Measuring presence in video games: An investigation of the potential use of physiological measures as indicators of presence","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2019.02.006","https://linkinghub.elsevier.com/retrieve/pii/S1071581918303112","","2019-06","2020-06-11 22:02:41","2020-06-11 22:02:41","2020-06-11 22:02:41","64-80","","","126","","International Journal of Human-Computer Studies","Measuring presence in video games","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2LXX2GIJ","journalArticle","2008","Jennett, Charlene; Cox, Anna L.; Cairns, Paul; Dhoparee, Samira; Epps, Andrew; Tijs, Tim; Walton, Alison","Measuring and defining the experience of immersion in games","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2008.04.004","https://linkinghub.elsevier.com/retrieve/pii/S1071581908000499","","2008-09","2020-06-11 22:02:40","2020-06-11 22:02:40","2020-06-11 22:02:40","641-661","","9","66","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NF2Q93AE","journalArticle","2020","van Berkel, Niels; Goncalves, Jorge; Wac, Katarzyna; Hosio, Simo; Cox, Anna L.","Human accuracy in mobile data collection","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2020.102396","https://linkinghub.elsevier.com/retrieve/pii/S107158192030001X","","2020-05","2020-06-11 22:02:39","2020-06-11 22:02:39","2020-06-11 22:02:39","102396","","","137","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T6X3F9EL","journalArticle","2019","Brown, Andy; Aizpurua, Amaia; Jay, Caroline; Evans, Michael; Glancy, Maxine; Harper, Simon","Contrasting delivery modes for second screen TV content—Push or pull?","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2019.03.007","https://linkinghub.elsevier.com/retrieve/pii/S1071581919300229","","2019-09","2020-06-16 07:45:39","2020-06-16 07:45:39","2020-06-16 07:45:39","15-26","","","129","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/KRSAY9TE/Brown et al_2019_Contrasting delivery modes for second screen TV content—Push or pull.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6BPJBJDU","journalArticle","2010","Vasalou, Asimina; Joinson, Adam N.; Courvoisier, Delphine","Cultural differences, experience with social networks and the nature of “true commitment” in Facebook","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2010.06.002","https://linkinghub.elsevier.com/retrieve/pii/S1071581910000807","","2010-10","2020-06-16 07:45:54","2020-06-16 07:45:54","2020-06-16 07:45:54","719-728","","10","68","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4RDHG572","journalArticle","2019","Landers, Richard N.; Tondello, Gustavo F.; Kappen, Dennis L.; Collmus, Andrew B.; Mekler, Elisa D.; Nacke, Lennart E.","Defining gameful experience as a psychological state caused by gameplay: Replacing the term ‘Gamefulness’ with three distinct constructs","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2018.08.003","https://linkinghub.elsevier.com/retrieve/pii/S1071581918304543","","2019-07","2020-06-16 07:45:55","2020-06-16 07:45:55","2020-06-16 07:45:55","81-94","","","127","","International Journal of Human-Computer Studies","Defining gameful experience as a psychological state caused by gameplay","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FR9Y8HNW","journalArticle","2016","Bevan, Chris; Fraser, Danaë Stanton","Different strokes for different folks? Revealing the physical characteristics of smartphone users from their swipe gestures","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2016.01.001","https://linkinghub.elsevier.com/retrieve/pii/S1071581916000021","","2016-04","2020-06-16 07:45:58","2020-06-16 07:45:58","2020-06-16 07:45:58","51-61","","","88","","International Journal of Human-Computer Studies","Different strokes for different folks?","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/YJPB8B5W/Bevan_Fraser_2016_Different strokes for different folks.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SP53FHXZ","journalArticle","2019","Ellis, David A.; Davidson, Brittany I.; Shaw, Heather; Geyer, Kristoffer","Do smartphone usage scales predict behavior?","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2019.05.004","https://linkinghub.elsevier.com/retrieve/pii/S1071581919300473","","2019-10","2020-06-16 07:46:09","2020-06-16 07:46:09","2020-06-16 07:46:09","86-92","","","130","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/ZKRVCP5X/Ellis et al_2019_Do smartphone usage scales predict behavior.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZCURGT2J","journalArticle","2019","van Berkel, Niels; Goncalves, Jorge; Lovén, Lauri; Ferreira, Denzil; Hosio, Simo; Kostakos, Vassilis","Effect of experience sampling schedules on response rate and recall accuracy of objective self-reports","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2018.12.002","https://linkinghub.elsevier.com/retrieve/pii/S1071581918306797","","2019-05","2020-06-16 07:46:16","2020-06-16 07:46:16","2020-06-16 07:46:16","118-128","","","125","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRCX4ZKH","journalArticle","2010","Koh, Yoon Jeon; Sundar, S. Shyam","Effects of specialization in computers, web sites, and web agents on e-commerce trust","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2010.08.002","https://linkinghub.elsevier.com/retrieve/pii/S1071581910000996","","2010-12","2020-06-16 07:46:18","2020-06-16 07:46:18","2020-06-16 07:46:18","899-912","","12","68","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6QTV7VNE","journalArticle","2019","Alemany, J.; del Val, E.; Alberola, J.; García-Fornes, A.","Enhancing the privacy risk awareness of teenagers in online social networks through soft-paternalism mechanisms","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2019.03.008","https://linkinghub.elsevier.com/retrieve/pii/S1071581918302118","","2019-09","2020-06-16 07:46:20","2020-06-16 07:46:20","2020-06-16 07:46:20","27-40","","","129","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XI9REKUL","journalArticle","2008","Kurniawan, Sri","Older people and mobile phones: A multi-method investigation","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2008.03.002","https://linkinghub.elsevier.com/retrieve/pii/S1071581908000281","","2008-12","2020-06-16 18:31:29","2020-06-16 18:31:29","2020-06-16 18:31:29","889-901","","12","66","","International Journal of Human-Computer Studies","Older people and mobile phones","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
