"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YP34CAWM","journalArticle","2011","Muico, Uldarico; Popović, Jovan; Popović, Zoran","Composite Control of Physically Simulated Characters","ACM Trans. Graph.","","0730-0301","10.1145/1966394.1966395","https://doi-org.ez.sun.ac.za/10.1145/1966394.1966395","","2011-05","2020-06-05 13:38:52","2020-06-05 13:38:52","","","","3","30","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","physics-based character animation; character control; Character simulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HE6HJ76M","conferencePaper","2013","Gallacher, Sarah; Kalnikaite, Vaiva; McCann, Julie; Prendergast, David; Bird, Jon; Jetter, Hans-Christian","SenCity: Uncovering the Hidden Pulse of a City (Workshop)","Proceedings of the 2013 ACM Conference on Pervasive and Ubiquitous Computing Adjunct Publication","978-1-4503-2215-7","","10.1145/2494091.2499211","https://doi-org.ez.sun.ac.za/10.1145/2494091.2499211","","2013","2020-06-05 13:38:52","2020-06-05 13:38:52","","1311–1316","","","","","","","UbiComp ’13 Adjunct","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Zurich, Switzerland","","","","sensing; cities; workshop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TDZMPWS9","conferencePaper","2011","Fuhr, Norbert","An Infrastructure for Supporting the Evaluation of Interactive Information Retrieval","Proceedings of the 2011 Workshop on Data InfrastructurEs for Supporting Information Retrieval Evaluation","978-1-4503-0952-3","","10.1145/2064227.2064245","https://doi-org.ez.sun.ac.za/10.1145/2064227.2064245","","2011","2020-06-05 13:38:52","2020-06-05 13:38:52","","1–2","","","","","","","DESIRE ’11","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Glasgow, Scotland, UK","","","","evaluation; interactive information retrieval","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M4393XFV","conferencePaper","2012","Chentanez, Nuttapong; Müller, Matthias","Mass-Conserving Eulerian Liquid Simulation","Proceedings of the ACM SIGGRAPH/Eurographics Symposium on Computer Animation","978-3-905674-37-8","","","","","2012","2020-06-05 13:38:52","2020-06-05 13:38:52","","245–254","","","","","","","SCA ’12","","","","Eurographics Association","Goslar, DEU","","","","","","","","event-place: Lausanne, Switzerland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSR8LMCQ","conferencePaper","2012","Cagnoni, Stefano; Cordón, Oscar; Mesejo, Pablo; Nashed, Youssef S.G.; Ugolotti, Roberto","First Results and Future Developments of the MIBISOC Project in the IBISlab of the University of Parma","Proceedings of the 14th Annual Conference Companion on Genetic and Evolutionary Computation","978-1-4503-1178-6","","10.1145/2330784.2330865","https://doi-org.ez.sun.ac.za/10.1145/2330784.2330865","","2012","2020-06-05 13:38:53","2020-06-05 13:38:53","","509–516","","","","","","","GECCO ’12","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Philadelphia, Pennsylvania, USA","","","","object detection; object tracking; image segmentation; image registration; general-purpose gpu computing; intelligent bio-inspired systems; medical imaging; metaheuristics; MIBISOC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K5GQRQ5R","conferencePaper","2012","Saakes, Daniel; Inami, Masahiko; Igarashi, Takeo; Koizumi, Naoya; Raskar, Ramesh","Shader Printer","ACM SIGGRAPH 2012 Emerging Technologies","978-1-4503-1680-4","","10.1145/2343456.2343474","https://doi-org.ez.sun.ac.za/10.1145/2343456.2343474","","2012","2020-06-05 13:38:53","2020-06-05 13:38:53","","","","","","","","","SIGGRAPH ’12","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Los Angeles, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ETBQTI2C","conferencePaper","2014","Rosales, Carlos; McLay, Robert","ECSS Experience: Particle Tracing Reinvented","Proceedings of the 2014 Annual Conference on Extreme Science and Engineering Discovery Environment","978-1-4503-2893-7","","10.1145/2616498.2616527","https://doi-org.ez.sun.ac.za/10.1145/2616498.2616527","","2014","2020-06-05 13:38:53","2020-06-05 13:38:53","","","","","","","","","XSEDE ’14","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Atlanta, GA, USA","","","","hdf5; load balance; Particle tracing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82CVRDYC","conferencePaper","2014","Thoss, Marcus; Beckmann, Kai; Kroeger, Reinhold; Muenchhof, Marco; Mellert, Christian","A Framework-Based Approach for Automated Testing of CNC Firmware","Proceedings of the 2014 Workshop on Joining AcadeMiA and Industry Contributions to Test Automation and Model-Based Testing","978-1-4503-2933-0","","10.1145/2631890.2631892","https://doi-org.ez.sun.ac.za/10.1145/2631890.2631892","","2014","2020-06-05 13:38:53","2020-06-05 13:38:53","","7–12","","","","","","","JAMAICA 2014","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: San Jose, CA, USA","","","","Automated testing; CNC; Eclipse TPTP; MATLAB; regression testing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SWYE8TS3","conferencePaper","2015","Pugliese, Roberto; Politis, Archontis; Takala, Tapio","ATSI: Augmented and Tangible Sonic Interaction","Proceedings of the Ninth International Conference on Tangible, Embedded, and Embodied Interaction","978-1-4503-3305-4","","10.1145/2677199.2680550","https://doi-org.ez.sun.ac.za/10.1145/2677199.2680550","","2015","2020-06-05 13:38:53","2020-06-05 13:38:53","","97–104","","","","","","","TEI ’15","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Stanford, California, USA","","","","augmented reality; tangible interaction; user study; sonic interaction; spatial audio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U3JLA82C","conferencePaper","2012","Krasser, Johannes; Abeßer, Jakob; Großmann, Holger; Dittmar, Christian; Cano, Estefanía","Improved Music Similarity Computation Based on Tone Objects","Proceedings of the 7th Audio Mostly Conference: A Conference on Interaction with Sound","978-1-4503-1569-2","","10.1145/2371456.2371464","https://doi-org.ez.sun.ac.za/10.1145/2371456.2371464","","2012","2020-06-05 13:38:53","2020-06-05 13:38:53","","47–54","","","","","","","AM ’12","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Corfu, Greece","","","","audio similarity; genre classification; harmonic-percussive decomposition; multitrack recordings; tone objects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSKQ597D","conferencePaper","2012","Karova, Milena; Avramova, Nevena","A Genetic Algorithm Basic Approach for Software Management Project","Proceedings of the 13th International Conference on Computer Systems and Technologies","978-1-4503-1193-9","","10.1145/2383276.2383293","https://doi-org.ez.sun.ac.za/10.1145/2383276.2383293","","2012","2020-06-05 13:38:53","2020-06-05 13:38:53","","103–110","","","","","","","CompSysTech ’12","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Ruse, Bulgaria","","","","planning; constraints; genetic algorithms; selection; crossover; mutation; software project management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QWL8VPB9","conferencePaper","2013","Lim, Kai Keat; Friedrich, Max; Radun, Jenni; Jokinen, Kristiina","Lying through the Eyes: Detecting Lies through Eye Movements","Proceedings of the 6th Workshop on Eye Gaze in Intelligent Human Machine Interaction: Gaze in Multimodal Interaction","978-1-4503-2563-9","","10.1145/2535948.2535954","https://doi-org.ez.sun.ac.za/10.1145/2535948.2535954","","2013","2020-06-05 13:38:53","2020-06-05 13:38:53","","51–56","","","","","","","GazeIn ’13","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Sydney, Australia","","","","eye tracking; lie detection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XVPYIQ54","conferencePaper","2012","Li, Baoli","Learning to Model Multilingual Unrestricted Coreference in OntoNotes","Joint Conference on EMNLP and CoNLL - Shared Task","","","","","","2012","2020-06-05 13:39:03","2020-06-05 13:39:03","","129–135","","","","","","","CoNLL ’12","","","","Association for Computational Linguistics","USA","","","","","","","","event-place: Jeju, Republic of Korea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7L2G4WNC","conferencePaper","2014","Kemeny, Andras","From Driving Simulation to Virtual Reality","Proceedings of the 2014 Virtual Reality International Conference","978-1-4503-2626-1","","10.1145/2617841.2620721","https://doi-org.ez.sun.ac.za/10.1145/2617841.2620721","","2014","2020-06-05 13:39:03","2020-06-05 13:39:03","","","","","","","","","VRIC ’14","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Laval, France","","","","virtual reality; augmented reality; driving simulation; CAVE; scale 1:1 perception; simulation sickness; transport delay","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P8DEKMTC","journalArticle","2014","Fernandes, Eraldo Rezende; dos Santos, Cícero Nogueira; Milidiú, Ruy Luiz","Latent Trees for Coreference Resolution","Comput. Linguist.","","0891-2017","10.1162/COLI_a_00200","https://doi-org.ez.sun.ac.za/10.1162/COLI_a_00200","","2014-12","2020-06-05 13:39:03","2020-06-05 13:39:03","","801–835","","4","40","","","","","","","","","","","","","","","","","Place: Cambridge, MA, USA Publisher: MIT Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GZKYQNLT","conferencePaper","2012","Hansen, John Paulin; Wusheng, Wang; Shklovski, Irina","TalkingBadge Demo","Proceedings of the 7th Nordic Conference on Human-Computer Interaction: Making Sense Through Design","978-1-4503-1482-4","","10.1145/2399016.2399139","https://doi-org.ez.sun.ac.za/10.1145/2399016.2399139","","2012","2020-06-05 13:39:03","2020-06-05 13:39:03","","771–772","","","","","","","NordiCHI ’12","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Copenhagen, Denmark","","","","privacy; ubiquitous computing; location-based services; tracking; tagging; disability; Bluetooth; badges; interactive; text-to-speech; voice interfaces","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P3QKFA42","conferencePaper","2011","Pekurovsky, Dmitry","Ultrascalable Fourier Transfroms in Three Dimensions","Proceedings of the 2011 TeraGrid Conference: Extreme Digital Discovery","978-1-4503-0888-5","","10.1145/2016741.2016751","https://doi-org.ez.sun.ac.za/10.1145/2016741.2016751","","2011","2020-06-05 13:39:03","2020-06-05 13:39:03","","","","","","","","","TG ’11","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Salt Lake City, Utah","","","","open source software; scalability; community applications; high performance computing (HPC); numerical libraries; parallel performance; petascale; two-dimensional decomposition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YUY4SFKN","conferencePaper","2011","Dickerson, Robert F.; Hnat, Timothy; Hoque, Enamul; Stankovic, John A.","Demonstration of Sleep Monitoring and Caregiver Displays for Depression Monitoring","Proceedings of the 2nd Conference on Wireless Health","978-1-4503-0982-0","","10.1145/2077546.2077571","https://doi-org.ez.sun.ac.za/10.1145/2077546.2077571","","2011","2020-06-05 13:39:03","2020-06-05 13:39:03","","","","","","","","","WH ’11","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: San Diego, California","","","","visualization; emotional monitoring; major depression; sleeping monitoring","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
