"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6YQTGDQW","conferencePaper","2019","Huang, Huang; Tao, Haijun; Wang, Haifeng","A Convolutional Neural Network Based Method for Low-Illumination Image Enhancement","Proceedings of the 2nd International Conference on Artificial Intelligence and Pattern Recognition","978-1-4503-7229-9","","10.1145/3357254.3357255","https://doi-org.ez.sun.ac.za/10.1145/3357254.3357255","","2019","2020-06-05 12:20:37","2020-06-05 12:20:37","","72–77","","","","","","","AIPR ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Beijing, China","","","","convolutional neural network; loss function; low-illumination image enhancement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZSE477P","conferencePaper","2019","Xixu, Shao; Bingyue, Liu; Nair, Radha Krishnan","Factors That Influence the Undergraduate Accounting Students In UCSI University To Choose External Auditing As A Career Choice","Proceedings of the 2019 2nd International Conference on E-Business, Information Management and Computer Science","978-1-4503-6649-6","","10.1145/3377817.3377828","https://doi-org.ez.sun.ac.za/10.1145/3377817.3377828","","2019","2020-06-05 12:20:38","2020-06-05 12:20:38","","","","","","","","","EBIMCS ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Kuala Lumpur, Malaysia","","","","perception; benefits; career; Accounting; Auditor; Job; salary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7EU3SA24","conferencePaper","2020","Zhang, Yicong; Wang, Mingyu; Li, Zhaolin","An Efficient Object Detection Framework with Modified Dense Connections for Small Objects Optimizations","Proceedings of the 17th ACM International Conference on Computing Frontiers","978-1-4503-7956-4","","10.1145/3387902.3392620","https://doi-org.ez.sun.ac.za/10.1145/3387902.3392620","","2020","2020-06-05 12:20:38","2020-06-05 12:20:38","","174–181","","","","","","","CF ’20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Catania, Sicily, Italy","","","","convolutional neural network; dense connection; object detection; residual structure; small objects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9GCAFJF","conferencePaper","2019","Trubiani, Catia; Apel, Sven","PLUS: Performance Learning for Uncertainty of Software","Proceedings of the 41st International Conference on Software Engineering: New Ideas and Emerging Results","","","10.1109/ICSE-NIER.2019.00028","https://doi-org.ez.sun.ac.za/10.1109/ICSE-NIER.2019.00028","","2019","2020-06-05 12:20:38","2020-06-05 12:20:38","","77–80","","","","","","","ICSE-NIER ’19","","","","IEEE Press","","","","","","","","","event-place: Montreal, Quebec, Canada","","","","uncertainty; machine learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YMLPDQDU","conferencePaper","2019","Pham, Thi T.T.; Déniz, Héctor Rodriguez; Pham, Tuan D.","Tensor Decomposition of Non-EEG Physiological Signals for Visualization and Recognition of Human Stress","Proceedings of the 2019 11th International Conference on Bioinformatics and Biomedical Technology","978-1-4503-6231-3","","10.1145/3340074.3340096","https://doi-org.ez.sun.ac.za/10.1145/3340074.3340096","","2019","2020-06-05 12:20:38","2020-06-05 12:20:38","","132–136","","","","","","","ICBBT’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Stockholm, Sweden","","","","biosensors; feature visualization; pattern classification; physiological signals; Stress assessment; tensor decomposition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EJHIMA9Y","conferencePaper","2019","He, Siyu; He, Yongzhong; Li, Mingzhe","Classification of Illegal Activities on the Dark Web","Proceedings of the 2019 2nd International Conference on Information Science and Systems","978-1-4503-6103-3","","10.1145/3322645.3322691","https://doi-org.ez.sun.ac.za/10.1145/3322645.3322691","","2019","2020-06-05 12:20:38","2020-06-05 12:20:38","","73–78","","","","","","","ICISS 2019","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Tokyo, Japan","","","","classification; Dark web; illegal activities; legal; Tor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A5JPPTEY","book","2020","","HRI ’20: Companion of the 2020 ACM/IEEE International Conference on Human-Robot Interaction","","978-1-4503-7057-8","","","","","2020","2020-06-05 12:20:38","2020-06-05 12:20:38","","","","","","","","","","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UXGL4YXP","conferencePaper","2019","Mitropoulos, Dimitris; Louridas, Panos; Salis, Vitalis; Spinellis, Diomidis","Time Present and Time Past: Analyzing the Evolution of JavaScript Code in the Wild","Proceedings of the 16th International Conference on Mining Software Repositories","","","10.1109/MSR.2019.00029","https://doi-org.ez.sun.ac.za/10.1109/MSR.2019.00029","","2019","2020-06-05 12:20:38","2020-06-05 12:20:38","","126–137","","","","","","","MSR ’19","","","","IEEE Press","","","","","","","","","event-place: Montreal, Quebec, Canada","","","","JavaScript; code reuse; bug persistence; software evolution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HPX23V57","book","2020","","HRI ’20: Proceedings of the 2020 ACM/IEEE International Conference on Human-Robot Interaction","","978-1-4503-6746-2","","","","","2020","2020-06-05 12:20:38","2020-06-05 12:20:38","","","","","","","","","","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IYZCYR7C","conferencePaper","2019","Watson, Robert B.","Affordable Patient Record Automation for Small Clinics: Field Testing the PiClinic Console","Proceedings of the 37th ACM International Conference on the Design of Communication","978-1-4503-6790-5","","10.1145/3328020.3353916","https://doi-org.ez.sun.ac.za/10.1145/3328020.3353916","","2019","2020-06-05 12:20:38","2020-06-05 12:20:38","","","","","","","","","SIGDOC ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Portland, Oregon","","","","electronic health record (EHR) systems; information communication technology for development (ICT4D); international teams; technical communication education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TCPLUMKX","conferencePaper","2019","Xia, Yuan; Yao, Yi","A Design and Implementation of Chinese University Virtual Entrepreneurship Education Platform System Based on B / S Structure","Proceedings of the 2019 2nd International Conference on Algorithms, Computing and Artificial Intelligence","978-1-4503-7261-9","","10.1145/3377713.3377757","https://doi-org.ez.sun.ac.za/10.1145/3377713.3377757","","2019","2020-06-05 12:20:38","2020-06-05 12:20:38","","334–338","","","","","","","ACAI 2019","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Sanya, China","","","","B/S structure; design and implementation; multi-layer model; virtual entrepreneurship education platform system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E6Z3IWZW","conferencePaper","2019","Ng, Yi Sen; Xue, Wanqi; Wang, Wei; Qi, Panpan","Convolutional Neural Networks for Food Image Recognition: An Experimental Study","Proceedings of the 5th International Workshop on Multimedia Assisted Dietary Management","978-1-4503-6916-9","","10.1145/3347448.3357168","https://doi-org.ez.sun.ac.za/10.1145/3347448.3357168","","2019","2020-06-05 12:20:39","2020-06-05 12:20:39","","33–41","","","","","","","MADiMa ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Nice, France","","","","class imbalance; convolutional neural networks; food dataset; image augmentation; image recognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALH4XLNB","book","2019","","MM ’19: Proceedings of the 27th ACM International Conference on Multimedia","","978-1-4503-6889-6","","","","","2019","2020-06-05 12:20:39","2020-06-05 12:20:39","","","","","","","","","","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YR9NPCZ9","conferencePaper","2019","Nadezhda, Zakharova; Kirill, Polyakov; Natalia, Bryazgunova; Tatyana, Puzina; Ilya, Kiryushin","Developing Key Competencies in the Digital Economy for Students in Higher Education","Proceedings of the 2019 International SPBPU Scientific Conference on Innovations in Digital Economy","978-1-4503-7244-2","","10.1145/3372177.3372208","https://doi-org.ez.sun.ac.za/10.1145/3372177.3372208","","2019","2020-06-05 12:20:39","2020-06-05 12:20:39","","","","","","","","","SPBPU IDE ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Saint Petersburg, Russian Federation","","","","higher education; Digital economy; levels of implementation of digital concepts; matrix of distribution of digital competencies; target vectors and technologies for the development of education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EC9XL2FS","conferencePaper","2020","Nouri, Elnaz; Sim, Robert; Fourney, Adam; White, Ryen W.","Step-Wise Recommendation for Complex Task Support","Proceedings of the 2020 Conference on Human Information Interaction and Retrieval","978-1-4503-6892-6","","10.1145/3343413.3377964","https://doi-org.ez.sun.ac.za/10.1145/3343413.3377964","","2020","2020-06-05 12:20:39","2020-06-05 12:20:39","","203–212","","","","","","","CHIIR ’20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Vancouver BC, Canada","","","","productivity; complex tasks; conversational systems; digital assistants; intelligent assistants; multi-device experiences; step-wise recommendation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RMIJCI2B","conferencePaper","2019","Arslan, Serhat; McKeown, Nick","Switches Know the Exact Amount of Congestion","Proceedings of the 2019 Workshop on Buffer Sizing","978-1-4503-7745-4","","10.1145/3375235.3375245","https://doi-org.ez.sun.ac.za/10.1145/3375235.3375245","","2019","2020-06-05 12:20:39","2020-06-05 12:20:39","","","","","","","","","BS ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Palo Alto, CA, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VGV2GPJU","conferencePaper","2019","Wang, Haotian; Rajagopal, Niranjini; Rowe, Anthony; Sinopoli, Bruno; Gao, Jie","Efficient Beacon Placement Algorithms for Time-of-Flight Indoor Localization","Proceedings of the 27th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems","978-1-4503-6909-1","","10.1145/3347146.3359344","https://doi-org.ez.sun.ac.za/10.1145/3347146.3359344","","2019","2020-06-05 12:20:39","2020-06-05 12:20:39","","119–128","","","","","","","SIGSPATIAL ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Chicago, IL, USA","","","","Approximation Algorithm; Beacon Placement; Computational Geometry; Indoor Localization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z94SCE7J","conferencePaper","2019","Macarini, Luiz Antonio; Cechinel, Cristian; Santos, Henrique Lemos dos; Ochoa, Xavier; Rodés, Virgínia; Alonso, Guillermo Ettlin; Casas, Alén Pérez; Díaz, Patricia","Challenges on Implementing Learning Analytics over Countrywide K-12 Data","Proceedings of the 9th International Conference on Learning Analytics & Knowledge","978-1-4503-6256-6","","10.1145/3303772.3303819","https://doi-org.ez.sun.ac.za/10.1145/3303772.3303819","","2019","2020-06-05 12:20:39","2020-06-05 12:20:39","","441–445","","","","","","","LAK19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Tempe, AZ, USA","","","","Academic Trajectory; Early Warning System; Educational Data Mining; Learning Analytics; Primary and Secondary Education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4WWDUVV9","conferencePaper","2019","Gong, Wenbo","Research Load Balancing Technology of Distributed Database Based on Consistent Hash","Proceedings of the 3rd International Conference on High Performance Compilation, Computing and Communications","978-1-4503-6638-0","","10.1145/3318265.3318283","https://doi-org.ez.sun.ac.za/10.1145/3318265.3318283","","2019","2020-06-05 12:20:39","2020-06-05 12:20:39","","95–99","","","","","","","HP3C ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Xi&apos;an, China","","","","auxiliary loop hash model; concurrent processing; consistent hashing; distributed database; dynamic variance screening model; load analysis; load balancing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MPQYFUPT","book","2020","","SIGMOD ’20: Proceedings of the 2020 ACM SIGMOD International Conference on Management of Data","","978-1-4503-6735-6","","","","","2020","2020-06-05 12:20:40","2020-06-05 12:20:40","","","","","","","","","","","","","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YNUNQ35Z","conferencePaper","2019","Moshfeghi, Yashar; Triantafillou, Peter; Pollick, Frank","Towards Predicting a Realisation of an Information Need Based on Brain Signals","The World Wide Web Conference","978-1-4503-6674-8","","10.1145/3308558.3313671","https://doi-org.ez.sun.ac.za/10.1145/3308558.3313671","","2019","2020-06-05 12:20:40","2020-06-05 12:20:40","","1300–1309","","","","","","","WWW ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: San Francisco, CA, USA","","","","Brain Signals; fMRI; Generalised; Information Need; Information Retrieval; Personalised; Prediction; Proactive","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KFLM4LDQ","conferencePaper","2019","Chou, Tai-Liang; Hsueh, Yu-Ling","A Task-Oriented Chatbot Based on LSTM and Reinforcement Learning","Proceedings of the 2019 3rd International Conference on Natural Language Processing and Information Retrieval","978-1-4503-6279-5","","10.1145/3342827.3342844","https://doi-org.ez.sun.ac.za/10.1145/3342827.3342844","","2019","2020-06-05 12:20:40","2020-06-05 12:20:40","","87–91","","","","","","","NLPIR 2019","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Tokushima, Japan","","","","Chatbots; Deep Learning; Dialog Management; Natural Language Processing; Sentence Generation; Service Robots","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PUXAX4B8","conferencePaper","2019","Feng, Qiong; Cai, Yuanfang; Kazman, Rick; Cui, Di; Liu, Ting; Fang, Hongzhou","Active Hotspot: An Issue-Oriented Model to Monitor Software Evolution and Degradation","Proceedings of the 34th IEEE/ACM International Conference on Automated Software Engineering","978-1-72812-508-4","","10.1109/ASE.2019.00095","https://doi-org.ez.sun.ac.za/10.1109/ASE.2019.00095","","2019","2020-06-05 12:20:40","2020-06-05 12:20:40","","986–997","","","","","","","ASE ’19","","","","IEEE Press","","","","","","","","","event-place: San Diego, California","","","","software evolution; architecture debt","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q7NJA9BW","conferencePaper","2019","Dacrema, Maurizio Ferrari; Cremonesi, Paolo; Jannach, Dietmar","Are We Really Making Much Progress? A Worrying Analysis of Recent Neural Recommendation Approaches","Proceedings of the 13th ACM Conference on Recommender Systems","978-1-4503-6243-6","","10.1145/3298689.3347058","https://doi-org.ez.sun.ac.za/10.1145/3298689.3347058","","2019","2020-06-05 12:20:40","2020-06-05 12:20:40","","101–109","","","","","","","RecSys ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Copenhagen, Denmark","","","","evaluation; recommender systems; reproducibility; deep learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K9VIIJDT","conferencePaper","2019","Liu, Jinyang; Zhu, Jieming; He, Shilin; He, Pinjia; Zheng, Zibin; Lyu, Michael R.","Logzip: Extracting Hidden Structures via Iterative Clustering for Log Compression","Proceedings of the 34th IEEE/ACM International Conference on Automated Software Engineering","978-1-72812-508-4","","10.1109/ASE.2019.00085","https://doi-org.ez.sun.ac.za/10.1109/ASE.2019.00085","","2019","2020-06-05 12:20:40","2020-06-05 12:20:40","","863–873","","","","","","","ASE ’19","","","","IEEE Press","","","","","","","","","event-place: San Diego, California","","","","iterative clustering; log compression; log management; logs; structure extraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XPXQSAN5","conferencePaper","2019","Miry, Abbas Hussien; Mary, Ali Hussien; Miry, Mohammed Hussein","Mixed Robust Controller with Optimized Weighted Selection for a DC Servo Motor","Proceedings of the International Conference on Information and Communication Technology","978-1-4503-6643-4","","10.1145/3321289.3321304","https://doi-org.ez.sun.ac.za/10.1145/3321289.3321304","","2019","2020-06-05 12:20:40","2020-06-05 12:20:40","","178–183","","","","","","","ICICT ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Baghdad, Iraq","","","","H infinity; PSO; sensitivity robust performance; weighting function","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUJNI9UV","book","2020","","ASPLOS ’20: Proceedings of the Twenty-Fifth International Conference on Architectural Support for Programming Languages and Operating Systems","","978-1-4503-7102-5","","","","","2020","2020-06-05 12:20:40","2020-06-05 12:20:40","","","","","","","","","","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMLTZASV","conferencePaper","2019","Neshat, Mehdi; Alexander, Bradley; Sergiienko, Nataliia Y.; Wagner, Markus","A Hybrid Evolutionary Algorithm Framework for Optimising Power Take off and Placements of Wave Energy Converters","Proceedings of the Genetic and Evolutionary Computation Conference","978-1-4503-6111-8","","10.1145/3321707.3321806","https://doi-org.ez.sun.ac.za/10.1145/3321707.3321806","","2019","2020-06-05 12:20:40","2020-06-05 12:20:40","","1293–1301","","","","","","","GECCO ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Prague, Czech Republic","","","","evolutionary algorithms; position optimization; power take off system; renewable energy; wave energy converters","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4E2TVGWS","conferencePaper","2019","Wang, Lan; Shi, Jiahao; Wang, Yang; Su, Feng","Video Text Detection by Attentive Spatiotemporal Fusion of Deep Convolutional Features","Proceedings of the 27th ACM International Conference on Multimedia","978-1-4503-6889-6","","10.1145/3343031.3350868","https://doi-org.ez.sun.ac.za/10.1145/3343031.3350868","","2019","2020-06-05 12:20:40","2020-06-05 12:20:40","","66–74","","","","","","","MM ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Nice, France","","","","video; deformable convolution; multi-frame fusion; scene text detection; spatiotemporal sampling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q77Y67UB","conferencePaper","2020","Satsangi, Yash; Lim, Sungsu; Whiteson, Shimon; Oliehoek, Frans A.; White, Martha","Maximizing Information Gain in Partially Observable Environments via Prediction Rewards","Proceedings of the 19th International Conference on Autonomous Agents and MultiAgent Systems","978-1-4503-7518-4","","","","","2020","2020-06-05 12:20:40","2020-06-05 12:20:40","","1215–1223","","","","","","","AAMAS ’20","","","","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC","","","","","","","","event-place: Auckland, New Zealand","","","","information gain; partial observability; reinforcement learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MUZK4PLQ","journalArticle","2020","Langdon, W. B.","Big Data Driven Genetic Improvement for Maintenance of Legacy Software Systems","SIGEVOlution","","","10.1145/3381343.3381345","https://doi-org.ez.sun.ac.za/10.1145/3381343.3381345","","2020-01","2020-06-05 12:20:40","2020-06-05 12:20:40","","6–9","","3","12","","","","","","","","","","","","","","","","","Place: New York, NY, USA Publisher: Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2U5ZG3QZ","conferencePaper","2019","Katt, Sammie; Oliehoek, Frans A.; Amato, Christopher","Bayesian Reinforcement Learning in Factored POMDPs","Proceedings of the 18th International Conference on Autonomous Agents and MultiAgent Systems","978-1-4503-6309-9","","","","","2019","2020-06-05 12:20:40","2020-06-05 12:20:40","","7–15","","","","","","","AAMAS ’19","","","","International Foundation for Autonomous Agents and Multiagent Systems","Richland, SC","","","","","","","","event-place: Montreal QC, Canada","","","","bayes networks; bayesian reinforcement learning; monte-carlo tree search; monte-chain monte-carlo; pomdps","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H7TZE8J6","conferencePaper","2019","Wang, Fayu; Liu, Jianyang; Hu, G. D.","A Novel Indoor Human Fall Detection Method Based on an End-to-End Neural Network and Bagged Tree Classifier","Proceedings of the 2019 2nd International Conference on Algorithms, Computing and Artificial Intelligence","978-1-4503-7261-9","","10.1145/3377713.3377767","https://doi-org.ez.sun.ac.za/10.1145/3377713.3377767","","2019","2020-06-05 12:21:01","2020-06-05 12:21:01","","384–389","","","","","","","ACAI 2019","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Sanya, China","","","","Bagged tree; Discriminant correlation filter; Fall detection; Neural Networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57YXIZYD","conferencePaper","2019","Padmanaban, Nitish; Konrad, Robert K.; Wetzstein, Gordon","Autofocals: Evaluating Gaze-Contingent Eyeglasses for Presbyopes","ACM SIGGRAPH 2019 Talks","978-1-4503-6317-4","","10.1145/3306307.3328147","https://doi-org.ez.sun.ac.za/10.1145/3306307.3328147","","2019","2020-06-05 12:21:01","2020-06-05 12:21:01","","","","","","","","","SIGGRAPH ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Los Angeles, California","","","","computational optometry; presbyopia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R2GXRQAX","conferencePaper","2019","Raj, Sudeep; Wu, Chia-Chien; Raj, Shreya; Attar, Nada","Understanding the Relationship between Microsaccades and Pupil Dilation","Proceedings of the 11th ACM Symposium on Eye Tracking Research & Applications","978-1-4503-6709-7","","10.1145/3314111.3323076","https://doi-org.ez.sun.ac.za/10.1145/3314111.3323076","","2019","2020-06-05 12:21:01","2020-06-05 12:21:01","","","","","","","","","ETRA ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Denver, Colorado","","","","eye movements; fixation; free-viewing; microsaccade rate; pupil size","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F6R8SBL5","conferencePaper","2019","Lu, Yuhuan; He, Zhaocheng; Luo, Liangkui","Learning Trajectories as Words: A Probabilistic Generative Model for Destination Prediction","Proceedings of the 16th EAI International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services","978-1-4503-7283-1","","10.1145/3360774.3360814","https://doi-org.ez.sun.ac.za/10.1145/3360774.3360814","","2019","2020-06-05 12:21:01","2020-06-05 12:21:01","","464–472","","","","","","","MobiQuitous ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Houston, Texas","","","","destination prediction; topic model; trajectory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PZVNFE3W","conferencePaper","2019","Kim, Chelhwon; Chiu, Patrick; de la Pena, Joseph; Denoue, Laurent; Shingu, Jun; Tjahjadi, Yulius","Toward Long Distance Tabletop Hand-Document Telepresence","Proceedings of the 2019 ACM International Conference on Interactive Surfaces and Spaces","978-1-4503-6891-9","","10.1145/3343055.3360757","https://doi-org.ez.sun.ac.za/10.1145/3343055.3360757","","2019","2020-06-05 12:21:01","2020-06-05 12:21:01","","391–396","","","","","","","ISS ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Daejeon, Republic of Korea","","","","telepresence; document sharing; hand gestures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIAUJBRU","conferencePaper","2019","Cunningham, Kathryn; Ke, Shannon; Guzdial, Mark; Ericson, Barbara","Novice Rationales for Sketching and Tracing, and How They Try to Avoid It","Proceedings of the 2019 ACM Conference on Innovation and Technology in Computer Science Education","978-1-4503-6895-7","","10.1145/3304221.3319788","https://doi-org.ez.sun.ac.za/10.1145/3304221.3319788","","2019","2020-06-05 12:21:02","2020-06-05 12:21:02","","37–43","","","","","","","ITiCSE ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Aberdeen, Scotland Uk","","","","sketching; cs1; external cognition; notional machine; novice programmers; program visualization; tracing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8R6UWMX","conferencePaper","2019","Ainam, Jean-Paul; Qin, Ke; Liu, Guisong; Luo, Guangchun","Person Re-Identification through Clustering and Partial Label Smoothing Regularization","Proceedings of the 2nd International Conference on Software Engineering and Information Management","978-1-4503-6642-7","","10.1145/3305160.3305205","https://doi-org.ez.sun.ac.za/10.1145/3305160.3305205","","2019","2020-06-05 12:21:02","2020-06-05 12:21:02","","189–193","","","","","","","ICSIM 2019","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Bali, Indonesia","","","","GAN; Pedestrian Retrieval; Person ReID; Smooth Label; Unsupervised Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XAUKYSNH","conferencePaper","2019","Shehzadi, Zainab; Azam, Farooque; Anwar, Muhammad Waseem; Qasim, Iqra","A Novel Framework for Change Requirement Management (CRM) In Agile Software Development (ASD)","Proceedings of the 9th International Conference on Information Communication and Management","978-1-4503-7188-9","","10.1145/3357419.3357438","https://doi-org.ez.sun.ac.za/10.1145/3357419.3357438","","2019","2020-06-05 12:21:02","2020-06-05 12:21:02","","22–26","","","","","","","ICICM 2019","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Prague, Czech Republic","","","","agile software development; change management process; requirement categorization management; Requirement change management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7LZXLCCS","conferencePaper","2019","Cheng, Zhanzhan; Lu, Jing; Niu, Yi; Pu, Shiliang; Wu, Fei; Zhou, Shuigeng","You Only Recognize Once: Towards Fast Video Text Spotting","Proceedings of the 27th ACM International Conference on Multimedia","978-1-4503-6889-6","","10.1145/3343031.3351093","https://doi-org.ez.sun.ac.za/10.1145/3343031.3351093","","2019","2020-06-05 12:21:02","2020-06-05 12:21:02","","855–863","","","","","","","MM ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Nice, France","","","","tracking; detection; quality scoring; video text spotting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
